日付,球場,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン数（ホーム）,ホームラン数（ビジター）,イニング別得点（ホーム(ビジター)）,観客動員数,URL
2026年4月30日（木）,バンテリンドーム,中日ドラゴンズ中日,横浜DeNAベイスターズDeNA,2,6,3,8,0,0,0,0,"0(0),1(1),0(0),0(0),1(1),0(0),0(2),0(0),0(2)",36679,https://npb.jp/scores/2026/0430/d-db-05/
2026年4月30日（木）,東京ドーム,読売ジャイアンツ巨人,広島東洋カープ広島,2,3,8,3,1,0,0,0,"0(0),1(0),0(0),0(0),0(0),0(0),1(0),0(3),0(0)",41979,https://npb.jp/scores/2026/0430/g-c-05/
2026年4月30日（木）,ベルーナドーム,埼玉西武ライオンズ西武,北海道日本ハムファイターズ日本ハム,2,3,9,8,2,1,0,0,"0(0),1(0),0(0),0(0),0(0),1(0),0(0),0(2),0(0)",27576,https://npb.jp/scores/2026/0430/l-f-06/
2026年4月30日（木）,神　宮,東京ヤクルトスワローズヤクルト,阪神タイガース阪神,2,10,8,16,1,0,0,0,"0(3),2(0),0(1),0(0),0(0),0(2),0(3),0(1),0(0)",28971,https://npb.jp/scores/2026/0430/s-t-06/
2026年5月1日（金）,マツダスタジアム,広島東洋カープ広島,中日ドラゴンズ中日,7,3,9,8,0,4,0,0,"0(0),0(0),1(0),0(0),1(0),0(1),4(0),1(2),x(0)",28127,https://npb.jp/scores/2026/0501/c-d-06/
2026年5月1日（金）,エスコンＦ,北海道日本ハムファイターズ日本ハム,オリックス・バファローズオリックス,5,1,7,8,0,2,0,0,"0(1),0(0),3(0),1(0),0(0),1(0),0(0),0(0),x(0)",29639,https://npb.jp/scores/2026/0501/f-b-07/
2026年5月1日（金）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,東北楽天ゴールデンイーグルス楽天,4,1,9,7,1,0,0,0,"0(0),0(0),0(0),0(0),0(1),1(0),3(0),0(0),x(0)",40063,https://npb.jp/scores/2026/0501/h-e-07/
2026年5月1日（金）,ZOZOマリン,千葉ロッテマリーンズロッテ,埼玉西武ライオンズ西武,0,10,5,20,2,0,0,0,"0(1),0(0),0(1),0(2),0(2),0(3),0(1),0(0),0(0)",28011,https://npb.jp/scores/2026/0501/m-l-07/
2026年5月1日（金）,神　宮,東京ヤクルトスワローズヤクルト,横浜DeNAベイスターズDeNA,16,5,20,9,2,0,0,0,"4(0),2(1),0(0),3(2),1(2),2(0),3(0),1(0),x(0)",29328,https://npb.jp/scores/2026/0501/s-db-06/
2026年5月1日（金）,甲子園,阪神タイガース阪神,読売ジャイアンツ巨人,3,5,10,7,0,0,0,0,"0(0),0(2),2(3),0(0),0(0),1(0),0(0),0(0),0(0)",42600,https://npb.jp/scores/2026/0501/t-g-06/
2026年5月2日（土）,マツダスタジアム,広島東洋カープ広島,中日ドラゴンズ中日,0,4,6,9,0,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(4),0(0),0(0)",32278,https://npb.jp/scores/2026/0502/c-d-07/
2026年5月2日（土）,エスコンＦ,北海道日本ハムファイターズ日本ハム,オリックス・バファローズオリックス,9,10,16,13,0,0,0,0,"4(0),1(2),1(0),1(0),0(2),0(3),1(0),0(3),1(0)",32759,https://npb.jp/scores/2026/0502/f-b-08/
2026年5月2日（土）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,東北楽天ゴールデンイーグルス楽天,5,0,7,8,0,0,0,0,"0(0),0(0),4(0),1(0),0(0),0(0),0(0),0(0),x(0)",40122,https://npb.jp/scores/2026/0502/h-e-08/
2026年5月2日（土）,ZOZOマリン,千葉ロッテマリーンズロッテ,埼玉西武ライオンズ西武,4,5,10,9,1,0,0,0,"0(0),1(2),0(0),0(2),1(0),0(1),2(0),0(0),0(0)",26911,https://npb.jp/scores/2026/0502/m-l-08/
2026年5月2日（土）,神　宮,東京ヤクルトスワローズヤクルト,横浜DeNAベイスターズDeNA,6,5,13,6,0,0,0,0,"0(0),0(0),0(0),0(0),4(2),0(3),0(0),1(0),1x(0)",29328,https://npb.jp/scores/2026/0502/s-db-07/
2026年5月2日（土）,甲子園,阪神タイガース阪神,読売ジャイアンツ巨人,7,5,16,7,1,0,0,0,"1(0),0(0),1(0),0(0),0(0),0(0),4(1),1(0),x(4)",42636,https://npb.jp/scores/2026/0502/t-g-07/
2026年5月3日（日）,マツダスタジアム,広島東洋カープ広島,中日ドラゴンズ中日,,,,,,,0,0,"(),(),(),(),(),(),(),(),()",0,https://npb.jp/scores/2026/0503/c-d-08/
2026年5月3日（日）,エスコンＦ,北海道日本ハムファイターズ日本ハム,オリックス・バファローズオリックス,3,0,6,3,1,1,0,0,"2(0),0(0),0(0),0(0),0(0),1(0),0(0),0(0),x(0)",34671,https://npb.jp/scores/2026/0503/f-b-09/
2026年5月3日（日）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,東北楽天ゴールデンイーグルス楽天,0,7,5,10,1,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(1),0(2),0(4)",40122,https://npb.jp/scores/2026/0503/h-e-09/
2026年5月3日（日）,ZOZOマリン,千葉ロッテマリーンズロッテ,埼玉西武ライオンズ西武,10,0,12,7,1,0,0,0,"2(0),2(0),1(0),0(0),1(0),0(0),3(0),1(0),x(0)",28182,https://npb.jp/scores/2026/0503/m-l-09/
2026年5月3日（日）,神　宮,東京ヤクルトスワローズヤクルト,横浜DeNAベイスターズDeNA,2,12,9,22,0,1,0,0,"0(0),0(0),0(2),0(0),0(1),0(0),0(2),0(3),2(4)",29328,https://npb.jp/scores/2026/0503/s-db-08/
2026年5月3日（日）,甲子園,阪神タイガース阪神,読売ジャイアンツ巨人,3,0,6,4,1,1,0,0,"0(0),0(0),0(0),1(0),0(0),2(0),0x(0),(),()",42633,https://npb.jp/scores/2026/0503/t-g-08/
2026年5月4日（月）,京セラD大阪,オリックス・バファローズオリックス,千葉ロッテマリーンズロッテ,3,0,6,8,0,1,0,0,"0(0),0(0),0(0),0(0),0(0),3(0),0(0),0(0),x(0)",30045,https://npb.jp/scores/2026/0504/b-m-06/
2026年5月4日（月）,バンテリンドーム,中日ドラゴンズ中日,阪神タイガース阪神,7,3,9,4,1,0,0,0,"4(3),0(0),0(0),0(0),1(0),0(0),2(0),0(0),x(0)",36684,https://npb.jp/scores/2026/0504/d-t-07/
2026年5月4日（月）,横　浜,横浜DeNAベイスターズDeNA,広島東洋カープ広島,11,8,16,8,0,1,0,0,"0(4),4(0),2(0),5(0),0(1),0(0),0(0),0(1),x(2)",33588,https://npb.jp/scores/2026/0504/db-c-06/
2026年5月4日（月）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,北海道日本ハムファイターズ日本ハム,3,1,7,8,0,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(1),3(0),x(0)",25082,https://npb.jp/scores/2026/0504/e-f-07/
2026年5月4日（月）,東京ドーム,読売ジャイアンツ巨人,東京ヤクルトスワローズヤクルト,1,5,7,6,0,0,0,0,"0(0),0(0),0(3),1(0),0(2),0(0),0(0),0(0),0(0)",42310,https://npb.jp/scores/2026/0504/g-s-07/
2026年5月4日（月）,ベルーナドーム,埼玉西武ライオンズ西武,福岡ソフトバンクホークスソフトバンク,10,2,19,5,0,1,0,0,"4(0),2(0),1(0),0(0),3(0),0(2),0(0),0(0),x(0)",27566,https://npb.jp/scores/2026/0504/l-h-07/
2026年5月5日（火）,京セラD大阪,オリックス・バファローズオリックス,千葉ロッテマリーンズロッテ,6,1,10,5,1,0,0,0,"3(0),0(0),0(0),0(0),0(0),2(0),0(0),1(0),x(1)",31585,https://npb.jp/scores/2026/0505/b-m-07/
2026年5月5日（火）,バンテリンドーム,中日ドラゴンズ中日,阪神タイガース阪神,7,3,7,7,0,2,0,0,"0(1),1(0),3(0),2(0),0(0),0(0),1(1),0(0),x(1)",36692,https://npb.jp/scores/2026/0505/d-t-08/
2026年5月5日（火）,横　浜,横浜DeNAベイスターズDeNA,広島東洋カープ広島,5,5,8,12,1,2,0,0,"0(0),0(2),0(0),3(0),0(0),2(0),0(0),0(2),0(1)",33586,https://npb.jp/scores/2026/0505/db-c-07/
2026年5月5日（火）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,北海道日本ハムファイターズ日本ハム,3,2,4,6,0,0,0,0,"0(0),0(0),0(0),0(1),1(1),0(0),2(0),0(0),x(0)",25609,https://npb.jp/scores/2026/0505/e-f-08/
2026年5月5日（火）,東京ドーム,読売ジャイアンツ巨人,東京ヤクルトスワローズヤクルト,3,2,2,6,0,0,0,0,"0(0),0(0),0(0),3(0),0(0),0(2),0(0),0(0),x(0)",42228,https://npb.jp/scores/2026/0505/g-s-08/
2026年5月5日（火）,ベルーナドーム,埼玉西武ライオンズ西武,福岡ソフトバンクホークスソフトバンク,4,6,5,9,0,1,0,0,"0(0),3(0),0(2),0(0),1(4),0(0),0(0),0(0),0(0)",27576,https://npb.jp/scores/2026/0505/l-h-08/
2026年5月6日（水）,京セラD大阪,オリックス・バファローズオリックス,千葉ロッテマリーンズロッテ,3,0,4,5,0,1,0,0,"0(0),2(0),0(0),0(0),0(0),0(0),1(0),0(0),x(0)",30657,https://npb.jp/scores/2026/0506/b-m-08/
2026年5月6日（水）,バンテリンドーム,中日ドラゴンズ中日,阪神タイガース阪神,0,2,2,7,0,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(2),0(0),0(0),0(0)",36675,https://npb.jp/scores/2026/0506/d-t-09/
2026年5月6日（水）,横　浜,横浜DeNAベイスターズDeNA,広島東洋カープ広島,0,10,5,11,1,1,0,0,"0(0),0(0),0(3),0(0),0(5),0(1),0(1),0(0),0(0)",33480,https://npb.jp/scores/2026/0506/db-c-08/
2026年5月6日（水）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,北海道日本ハムファイターズ日本ハム,2,12,8,14,1,0,0,0,"0(0),0(0),1(0),0(0),0(1),0(2),0(0),0(7),1(2)",25441,https://npb.jp/scores/2026/0506/e-f-09/
2026年5月6日（水）,東京ドーム,読売ジャイアンツ巨人,東京ヤクルトスワローズヤクルト,0,5,6,8,0,0,0,0,"0(2),0(0),0(0),0(0),0(0),0(1),0(2),0(0),0(0)",42192,https://npb.jp/scores/2026/0506/g-s-09/
2026年5月6日（水）,ベルーナドーム,埼玉西武ライオンズ西武,福岡ソフトバンクホークスソフトバンク,10,2,18,6,2,0,0,0,"0(0),8(0),0(0),0(0),0(0),0(0),2(0),0(1),x(1)",27459,https://npb.jp/scores/2026/0506/l-h-09/
2026年5月8日（金）,京セラD大阪,オリックス・バファローズオリックス,北海道日本ハムファイターズ日本ハム,4,3,6,12,1,0,0,0,"0(0),1(0),0(2),2(0),0(0),0(0),0(0),1(0),x(1)",36204,https://npb.jp/scores/2026/0508/b-f-10/
2026年5月8日（金）,マツダスタジアム,広島東洋カープ広島,東京ヤクルトスワローズヤクルト,1,4,7,11,1,2,0,0,"0(1),0(0),0(0),1(1),0(1),0(0),0(0),0(0),0(1)",26651,https://npb.jp/scores/2026/0508/c-s-06/
2026年5月8日（金）,バンテリンドーム,中日ドラゴンズ中日,読売ジャイアンツ巨人,9,2,9,10,0,1,0,0,"0(0),2(0),0(0),0(0),3(0),0(1),4(1),0(0),x(0)",34743,https://npb.jp/scores/2026/0508/d-g-06/
2026年5月8日（金）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,千葉ロッテマリーンズロッテ,6,5,9,13,0,0,0,0,"0(0),0(0),2(0),0(0),0(0),1(5),0(0),0(0),3x(0)",40122,https://npb.jp/scores/2026/0508/h-m-05/
2026年5月8日（金）,ベルーナドーム,埼玉西武ライオンズ西武,東北楽天ゴールデンイーグルス楽天,4,2,10,7,2,0,0,0,"0(0),0(0),0(0),0(0),0(0),3(0),0(0),1(2),x(0)",25706,https://npb.jp/scores/2026/0508/l-e-06/
2026年5月8日（金）,甲子園,阪神タイガース阪神,横浜DeNAベイスターズDeNA,1,10,8,13,2,1,0,0,"0(0),0(0),0(0),0(2),0(0),1(0),0(0),0(0),0(8)",42570,https://npb.jp/scores/2026/0508/t-db-06/
2026年5月9日（土）,京セラD大阪,オリックス・バファローズオリックス,北海道日本ハムファイターズ日本ハム,0,3,3,12,0,0,0,0,"0(1),0(0),0(0),0(0),0(2),0(0),0(0),0(0),0(0)",35592,https://npb.jp/scores/2026/0509/b-f-11/
2026年5月9日（土）,マツダスタジアム,広島東洋カープ広島,東京ヤクルトスワローズヤクルト,0,4,2,8,0,0,0,0,"0(0),0(2),0(0),0(2),0(0),0(0),0(0),0(0),0(0)",32146,https://npb.jp/scores/2026/0509/c-s-07/
2026年5月9日（土）,バンテリンドーム,中日ドラゴンズ中日,読売ジャイアンツ巨人,4,2,8,6,0,1,0,0,"0(0),1(0),0(0),0(0),3(0),0(0),0(0),0(2),x(0)",36682,https://npb.jp/scores/2026/0509/d-g-07/
2026年5月9日（土）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,千葉ロッテマリーンズロッテ,4,5,3,12,0,0,0,0,"0(0),1(1),0(0),3(0),0(0),0(0),0(2),0(1),0(1)",40122,https://npb.jp/scores/2026/0509/h-m-06/
2026年5月9日（土）,ベルーナドーム,埼玉西武ライオンズ西武,東北楽天ゴールデンイーグルス楽天,6,2,9,5,0,2,0,0,"0(0),0(0),0(0),0(1),0(0),4(1),2(0),0(0),x(0)",25446,https://npb.jp/scores/2026/0509/l-e-07/
2026年5月9日（土）,甲子園,阪神タイガース阪神,横浜DeNAベイスターズDeNA,1,3,5,10,0,0,0,0,"0(0),0(0),0(0),0(0),0(0),1(0),0(0),0(3),0(0)",42639,https://npb.jp/scores/2026/0509/t-db-07/
2026年5月10日（日）,京セラD大阪,オリックス・バファローズオリックス,北海道日本ハムファイターズ日本ハム,0,2,7,7,1,0,0,0,"0(2),0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)",34472,https://npb.jp/scores/2026/0510/b-f-12/
2026年5月10日（日）,マツダスタジアム,広島東洋カープ広島,東京ヤクルトスワローズヤクルト,4,0,10,3,0,0,0,0,"0(0),1(0),0(0),1(0),0(0),0(0),2(0),0(0),x(0)",31329,https://npb.jp/scores/2026/0510/c-s-08/
2026年5月10日（日）,バンテリンドーム,中日ドラゴンズ中日,読売ジャイアンツ巨人,4,9,9,12,1,1,0,0,"0(0),0(1),1(0),2(2),1(0),0(2),0(0),0(1),0(3)",36675,https://npb.jp/scores/2026/0510/d-g-08/
2026年5月10日（日）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,千葉ロッテマリーンズロッテ,8,3,10,8,0,0,0,0,"0(0),0(2),2(0),1(0),2(0),0(0),3(0),0(0),x(1)",40122,https://npb.jp/scores/2026/0510/h-m-07/
2026年5月10日（日）,ベルーナドーム,埼玉西武ライオンズ西武,東北楽天ゴールデンイーグルス楽天,6,1,10,7,0,0,0,0,"1(0),1(0),1(0),2(0),0(1),1(0),0(0),0(0),x(0)",27364,https://npb.jp/scores/2026/0510/l-e-08/
2026年5月10日（日）,甲子園,阪神タイガース阪神,横浜DeNAベイスターズDeNA,3,0,5,6,0,2,0,0,"0(0),0(0),0(0),0(0),1(0),1(0),1(0),0(0),x(0)",42597,https://npb.jp/scores/2026/0510/t-db-08/
