日付,球場,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン数（ホーム）,ホームラン数（ビジター）,イニング別得点（ホーム(ビジター)）,観客動員数,URL
2026年4月14日（火）,豊　橋,中日ドラゴンズ中日,広島東洋カープ広島,6,2,12,8,1,0,0,0,"4(0),0(0),0(0),0(0),2(0),0(0),0(0),0(2),x(0)",11226,https://npb.jp/scores/2026/0414/d-c-04/
2026年4月14日（火）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,東北楽天ゴールデンイーグルス楽天,2,3,5,7,1,0,0,0,"0(0),0(0),0(0),2(1),0(2),0(0),0(0),0(0),0(0)",37996,https://npb.jp/scores/2026/0414/h-e-04/
2026年4月14日（火）,ZOZOマリン,千葉ロッテマリーンズロッテ,北海道日本ハムファイターズ日本ハム,1,5,6,6,0,2,0,0,"0(1),1(0),0(0),0(2),0(0),0(1),0(0),0(0),0(1)",25841,https://npb.jp/scores/2026/0414/m-f-04/
2026年4月14日（火）,松　山,東京ヤクルトスワローズヤクルト,横浜DeNAベイスターズDeNA,5,3,8,6,0,1,0,0,"1(0),0(0),0(0),0(0),4(3),(0x),(),(),()",18526,https://npb.jp/scores/2026/0414/s-db-04/
2026年4月14日（火）,甲子園,阪神タイガース阪神,読売ジャイアンツ巨人,3,4,7,10,2,1,0,0,"0(0),0(2),0(0),0(0),0(0),0(0),3(0),0(1),0(1)",42603,https://npb.jp/scores/2026/0414/t-g-04/
2026年4月15日（水）,京セラD大阪,オリックス・バファローズオリックス,埼玉西武ライオンズ西武,3,1,9,6,0,0,0,0,"1(0),0(0),0(0),0(0),1(0),1(0),0(1),0(0),x(0)",22447,https://npb.jp/scores/2026/0415/b-l-05/
2026年4月15日（水）,バンテリンドーム,中日ドラゴンズ中日,広島東洋カープ広島,2,5,5,10,1,0,0,0,"0(0),0(1),0(0),0(0),0(0),0(2),2(0),0(2),0(0)",33703,https://npb.jp/scores/2026/0415/d-c-05/
2026年4月15日（水）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,東北楽天ゴールデンイーグルス楽天,2,3,5,7,0,0,0,0,"0(1),0(0),0(0),1(0),0(1),0(0),1(0),0(1),0(0)",38057,https://npb.jp/scores/2026/0415/h-e-05/
2026年4月15日（水）,ZOZOマリン,千葉ロッテマリーンズロッテ,北海道日本ハムファイターズ日本ハム,9,7,13,6,0,1,0,0,"2(0),0(0),3(5),3(0),0(1),0(0),0(1),1(0),x(0)",24393,https://npb.jp/scores/2026/0415/m-f-05/
2026年4月15日（水）,甲子園,阪神タイガース阪神,読売ジャイアンツ巨人,,,,,,,0,0,"(),(),(),(),(),(),(),(),()",0,https://npb.jp/scores/2026/0415/t-g-05/
2026年4月16日（木）,京セラD大阪,オリックス・バファローズオリックス,埼玉西武ライオンズ西武,7,1,14,6,0,0,0,0,"0(0),0(0),0(0),3(1),0(0),0(0),0(0),4(0),x(0)",23110,https://npb.jp/scores/2026/0416/b-l-06/
