年度,日付,曜日,週末/祝日,球場,試合時間,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン_ホーム,ホームラン_ビジター,ホームラン合計,HR詳細_ホーム,HR詳細_ビジター,ホーム勝利,得点差,逆転あり,サヨナラ,延長戦,リード変化回数,最終得点イニング,イニング別得点,勝利投手,敗戦投手,セーブ投手,URL
2022,2022年5月18日（水）,水,0,バンテリンドーム,3時間17分,中日ドラゴンズ,横浜DeNAベイスターズ,6,7,9,11,0,0,1,1,2,阿部4号（8回ソロエスコバー）,牧10号（3回3ラン松葉）,0,1,0,0,0,0,8,"0(0),0(0),0(4),2(1),0(0),3(0),0(2),1(0),0(0)",田中健（2勝0敗）,祖父江（1勝2敗）,山﨑（5セ）,https://npb.jp/scores/2022/0518/d-db-08/
2022,2022年5月18日（水）,水,0,東京ドーム,3時間13分,読売ジャイアンツ,広島東洋カープ,4,2,8,9,1,0,2,0,2,ポランコ8号（2回ソロ床田）、ウォーカー8号（5回3ラン床田）,,1,2,0,1,0,0,7,"0(0),1(0),0(0),0(0),3(0),0(1),0(1),0(0),x(0)",山﨑伊（2勝1敗）,床田（4勝2敗）,大勢（15セ）,https://npb.jp/scores/2022/0518/g-c-11/
2022,2022年5月18日（水）,水,0,那　覇,3時間22分,埼玉西武ライオンズ,福岡ソフトバンクホークス,2,3,6,9,2,0,0,0,0,,,0,1,0,0,0,0,7,"0(1),0(0),0(0),0(0),0(1),2(0),0(1),0(0),0(0)",藤井（4勝0敗）,水上（1勝1敗）,モイネロ（6セ）,https://npb.jp/scores/2022/0518/l-h-09/
2022,2022年5月18日（水）,水,0,ZOZOマリン,3時間19分,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,1,0,3,5,1,0,1,0,1,マーティン2号（10回ソロ酒居）,,1,1,0,0,1,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),1x(0)",東條（1勝1敗）,酒居（0勝1敗）,,https://npb.jp/scores/2022/0518/m-e-10/
2022,2022年5月18日（水）,水,0,神　宮,2時間41分,東京ヤクルトスワローズ,阪神タイガース,1,8,6,8,2,0,1,4,5,山田8号（6回ソロ西純）,マルテ1号（1回ソロ高橋）、西純1号（2回2ラン高橋）、大山6号（3回3ラン高橋）、佐藤輝10号（6回ソロ木澤）,0,7,0,0,0,0,8,"0(1),0(2),0(3),0(0),0(0),1(1),0(0),0(1),0(0)",西純（2勝0敗）,高橋（3勝1敗）,,https://npb.jp/scores/2022/0518/s-t-11/
2022,2022年5月19日（木）,木,0,東京ドーム,3時間9分,読売ジャイアンツ,広島東洋カープ,2,1,7,5,0,1,0,0,0,,,1,1,1,1,0,1,7,"0(0),0(1),1(0),0(0),0(0),0(0),1(0),0(0),x(0)",菅野（5勝3敗）,九里（2勝2敗）,大勢（16セ）,https://npb.jp/scores/2022/0519/g-c-12/
2022,2022年5月19日（木）,木,0,ZOZOマリン,3時間11分,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,2,7,7,5,0,0,2,2,4,レアード5号（2回ソロ岸）、マーティン3号（4回ソロ岸）,西川6号（5回ソロ河村）、マルモレホス5号（7回満塁小野）,0,5,1,0,0,1,7,"0(0),1(0),0(0),1(0),0(1),0(0),0(6),0(0),0(0)",岸（4勝1敗）,佐々木千（1勝1敗）,,https://npb.jp/scores/2022/0519/m-e-11/
2022,2022年5月19日（木）,木,0,神　宮,3時間4分,東京ヤクルトスワローズ,阪神タイガース,3,0,7,4,0,3,0,0,0,,,1,3,0,1,0,0,7,"0(0),0(0),0(0),0(0),1(0),0(0),2(0),0(0),x(0)",小川（2勝3敗）,ガンケル（1勝4敗）,マクガフ（12セ）,https://npb.jp/scores/2022/0519/s-t-12/
2022,2022年5月20日（金）,金,0,マツダスタジアム,3時間,広島東洋カープ,中日ドラゴンズ,11,5,12,7,1,1,2,2,4,マクブルーム6号（1回満塁大野雄）、小園2号（5回3ラン佐藤）,阿部5号（2回ソロ大瀬良）、木下3号（6回2ラン大瀬良）,1,6,0,1,0,0,8,"4(0),0(1),1(0),0(0),5(0),0(4),0(0),1(0),x(0)",大瀬良（5勝1敗）,大野雄（2勝4敗）,,https://npb.jp/scores/2022/0520/c-d-09/
2022,2022年5月20日（金）,金,0,横　浜,2時間35分,横浜DeNAベイスターズ,東京ヤクルトスワローズ,3,1,9,6,0,0,0,0,0,,,1,2,0,1,0,0,3,"3(0),0(0),0(1),0(0),0(0),0(0),0(0),0(0),x(0)",大貫（2勝2敗）,高梨（3勝3敗）,山﨑（6セ）,https://npb.jp/scores/2022/0520/db-s-07/
