年度,日付,曜日,週末/祝日,球場,試合時間,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン_ホーム,ホームラン_ビジター,ホームラン合計,HR詳細_ホーム,HR詳細_ビジター,ホーム勝利,得点差,逆転あり,サヨナラ,延長戦,リード変化回数,最終得点イニング,イニング別得点,勝利投手,敗戦投手,セーブ投手,URL
2022,2022年3月25日（金）,金,0,横　浜,3時間31分,横浜DeNAベイスターズ,広島東洋カープ,3,11,6,17,1,0,0,0,0,,,0,8,0,0,0,0,9,"0(0),0(3),0(0),1(0),0(0),0(5),2(0),0(1),0(2)",大瀬良（1勝0敗）,東（0勝1敗）,,https://npb.jp/scores/2022/0325/db-c-01/
2022,2022年3月25日（金）,金,0,楽天生命パーク,2時間58分,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,0,4,3,6,0,1,0,0,0,,,0,4,0,0,0,0,8,"0(0),0(0),0(0),0(0),0(0),0(3),0(0),0(1),0(0)",石川（1勝0敗）,則本（0勝1敗）,,https://npb.jp/scores/2022/0325/e-m-01/
2022,2022年3月25日（金）,金,0,東京ドーム,3時間19分,読売ジャイアンツ,中日ドラゴンズ,4,2,8,10,1,2,1,1,2,丸1号（2回ソロ大野雄）,ビシエド1号（4回ソロ菅野）,1,2,1,1,0,2,5,"0(0),1(0),0(1),0(1),3(0),0(0),0(0),0(0),x(0)",菅野（1勝0敗）,大野雄（0勝1敗）,大勢（1セ）,https://npb.jp/scores/2022/0325/g-d-01/
2022,2022年3月25日（金）,金,0,PayPayドーム,3時間25分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,4,1,8,4,0,0,1,1,2,ガルビス1号（8回満塁西村）,石井1号（4回ソロ千賀）,1,3,1,1,0,1,8,"0(0),0(0),0(0),0(1),0(0),0(0),0(0),4(0),x(0)",津森（1勝0敗）,杉浦（0勝1敗）,森（1セ）,https://npb.jp/scores/2022/0325/h-f-01/
2022,2022年3月25日（金）,金,0,ベルーナドーム,2時間48分,埼玉西武ライオンズ,オリックス・バファローズ,0,6,4,7,2,0,0,0,0,,,0,6,0,0,0,0,9,"0(0),0(0),0(0),0(0),0(0),0(2),0(0),0(0),0(4)",山本（1勝0敗）,髙橋光成（0勝1敗）,,https://npb.jp/scores/2022/0325/l-b-01/
2022,2022年3月25日（金）,金,0,京セラD大阪,3時間55分,阪神タイガース,東京ヤクルトスワローズ,8,10,15,15,0,1,1,4,5,糸井1号（4回2ラン大下）,濱田1号（7回ソロ藤浪）、サンタナ1号（8回2ラン齋藤）、山田1号（9回ソロケラー）、サンタナ2号（9回2ランケラー）,0,2,1,0,0,2,9,"0(1),1(0),3(0),4(0),0(0),0(1),0(1),0(4),0(3)",梅野（1勝0敗）,ケラー（0勝1敗）,マクガフ（1セ）,https://npb.jp/scores/2022/0325/t-s-01/
2022,2022年3月26日（土）,土,1,横　浜,3時間15分,横浜DeNAベイスターズ,広島東洋カープ,5,10,11,14,2,1,0,1,1,,菊池涼1号（5回ソロ大貫）,0,5,0,0,0,0,9,"0(1),0(0),0(1),2(2),1(4),0(2),0(0),0(0),2(0)",森下（1勝0敗）,大貫（0勝1敗）,,https://npb.jp/scores/2022/0326/db-c-02/
2022,2022年3月26日（土）,土,1,東京ドーム,3時間21分,読売ジャイアンツ,中日ドラゴンズ,7,5,12,5,2,0,0,1,1,,勝野1号（5回2ラン山﨑伊）,1,2,1,1,0,2,8,"0(0),1(1),0(0),1(0),0(2),0(0),0(0),5(2),x(0)",畠（1勝0敗）,福（0勝1敗）,大勢（2セ）,https://npb.jp/scores/2022/0326/g-d-02/
2022,2022年3月26日（土）,土,1,PayPayドーム,3時間4分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,6,3,9,7,0,1,1,3,4,栗原1号（2回ソロ古川侑）,アルカンタラ1号（4回ソロ東浜）、アルカンタラ2号（6回ソロ東浜）、清宮1号（9回ソロ藤井）,1,3,0,1,0,0,9,"0(0),1(0),0(0),0(1),5(0),0(1),0(0),0(0),x(1)",東浜（1勝0敗）,河野（0勝1敗）,森（2セ）,https://npb.jp/scores/2022/0326/h-f-02/
2022,2022年3月26日（土）,土,1,ベルーナドーム,2時間37分,埼玉西武ライオンズ,オリックス・バファローズ,5,0,9,1,0,0,1,0,1,山川1号（1回3ラン宮城）,,1,5,0,1,0,0,8,"3(0),0(0),0(0),1(0),0(0),0(0),0(0),1(0),x(0)",隅田（1勝0敗）,宮城（0勝1敗）,,https://npb.jp/scores/2022/0326/l-b-02/
2022,2022年3月26日（土）,土,1,京セラD大阪,2時間55分,阪神タイガース,東京ヤクルトスワローズ,0,6,2,8,0,0,0,1,1,,オスナ1号（9回2ラン石井）,0,6,0,0,0,0,9,"0(0),0(0),0(0),0(0),0(0),0(4),0(0),0(0),0(2)",高橋（1勝0敗）,小川（0勝1敗）,,https://npb.jp/scores/2022/0326/t-s-02/
2022,2022年3月27日（日）,日,1,横　浜,3時間21分,横浜DeNAベイスターズ,広島東洋カープ,6,7,10,10,1,1,3,0,3,佐野1号（5回ソロコルニエル）、宮﨑1号（6回ソロコルニエル）、牧1号（8回ソロ中﨑）,,0,1,1,0,0,3,9,"0(0),0(0),2(0),0(0),1(4),1(0),0(0),1(0),1(3)",中﨑（1勝0敗）,山﨑（0勝1敗）,栗林（1セ）,https://npb.jp/scores/2022/0327/db-c-03/
2022,2022年3月27日（日）,日,1,楽天生命パーク,4時間17分,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,6,5,10,10,1,0,0,1,1,,山口1号（8回3ラン安樂）,1,1,1,0,1,1,9,"0(0),0(0),2(1),0(0),0(0),1(0),0(0),1(4),1(0),0(0),1x(0)",松井裕（1勝0敗）,鈴木（0勝1敗）,,https://npb.jp/scores/2022/0327/e-m-02/
2022,2022年3月27日（日）,日,1,東京ドーム,4時間3分,読売ジャイアンツ,中日ドラゴンズ,5,7,12,11,1,1,2,1,3,岡本和1号（1回2ラン柳）、中田1号（1回ソロ柳）,阿部1号（5回ソロ赤星）,0,2,1,0,1,1,10,"4(0),0(0),0(0),0(0),0(1),0(0),1(0),0(2),0(2),0(2)",清水（1勝0敗）,直江（0勝1敗）,R.マルティネス（1セ）,https://npb.jp/scores/2022/0327/g-d-03/
2022,2022年3月27日（日）,日,1,PayPayドーム,3時間17分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,6,4,8,3,1,1,1,1,2,栗原2号（1回2ラン吉田）,万波1号（5回2ラン杉山）,1,2,0,1,0,0,6,"3(0),0(0),0(0),0(1),2(3),1(0),0(0),0(0),x(0)",藤井（1勝0敗）,池田（0勝1敗）,モイネロ（1セ）,https://npb.jp/scores/2022/0327/h-f-03/
2022,2022年3月27日（日）,日,1,ベルーナドーム,3時間15分,埼玉西武ライオンズ,オリックス・バファローズ,7,6,9,7,1,0,1,1,2,山川2号（6回2ラン比嘉）,ラベロ1号（3回2ラン渡邉）,1,1,1,1,0,1,8,"0(2),0(2),0(2),0(0),1(0),4(0),0(0),2(0),x(0)",平井（1勝0敗）,村西（0勝1敗）,増田（1セ）,https://npb.jp/scores/2022/0327/l-b-03/
2022,2022年3月27日（日）,日,1,京セラD大阪,3時間10分,阪神タイガース,東京ヤクルトスワローズ,0,4,5,10,0,1,0,2,2,,サンタナ3号（2回ソロ桐敷）、塩見1号（7回ソロ小野）,0,4,0,0,0,0,7,"0(0),0(1),0(0),0(0),0(0),0(2),0(1),0(0),0(0)",高梨（1勝0敗）,桐敷（0勝1敗）,,https://npb.jp/scores/2022/0327/t-s-03/
2022,2022年3月29日（火）,火,0,京セラD大阪,3時間11分,オリックス・バファローズ,東北楽天ゴールデンイーグルス,1,2,6,6,1,0,0,1,1,,安田1号（5回ソロ田嶋）,0,1,1,0,0,1,7,"0(0),0(0),1(0),0(0),0(1),0(0),0(1),0(0),0(0)",田中将（1勝0敗）,黒木（0勝1敗）,松井裕（1セ）,https://npb.jp/scores/2022/0329/b-e-01/
2022,2022年3月29日（火）,火,0,マツダスタジアム,3時間32分,広島東洋カープ,阪神タイガース,3,2,7,9,1,0,0,0,0,,,1,1,1,0,0,1,6,"0(0),0(0),1(0),0(0),0(0),0(2),0(0),0(0),2x(0)",矢崎（1勝0敗）,ケラー（0勝2敗）,,https://npb.jp/scores/2022/0329/c-t-01/
2022,2022年3月29日（火）,火,0,バンテリンドーム,2時間49分,中日ドラゴンズ,横浜DeNAベイスターズ,0,4,3,8,0,1,0,1,1,,牧2号（3回2ラン小笠原）,0,4,0,0,0,0,9,"0(0),0(0),0(2),0(0),0(1),0(0),0(0),0(0),0(1)",ロメロ（1勝0敗）,小笠原（0勝1敗）,,https://npb.jp/scores/2022/0329/d-db-01/
2022,2022年3月29日（火）,火,0,札幌ドーム,2時間51分,北海道日本ハムファイターズ,埼玉西武ライオンズ,0,4,7,6,0,0,0,2,2,,山川3号（2回ソロ上沢）、山川4号（8回ソロ上沢）,0,4,0,0,0,0,8,"0(0),0(2),0(0),0(0),0(1),0(0),0(0),0(1),0(0)",佐藤（1勝0敗）,上沢（0勝1敗）,,https://npb.jp/scores/2022/0329/f-l-01/
2022,2022年3月29日（火）,火,0,ZOZOマリン,3時間5分,千葉ロッテマリーンズ,福岡ソフトバンクホークス,1,2,2,5,0,0,0,0,0,,,0,1,0,0,1,0,10,"0(0),0(0),0(1),0(0),0(0),0(0),0(0),1(0),0(0),0(1)",又吉（1勝0敗）,西野（0勝1敗）,森（3セ）,https://npb.jp/scores/2022/0329/m-h-01/
2022,2022年3月29日（火）,火,0,神　宮,3時間7分,東京ヤクルトスワローズ,読売ジャイアンツ,3,5,9,3,1,0,0,1,1,,岡本和2号（4回ソロ奥川）,0,2,1,0,0,1,8,"1(0),0(0),0(0),0(1),0(0),0(4),1(0),1(0),0(0)",戸郷（1勝0敗）,坂本（0勝1敗）,大勢（3セ）,https://npb.jp/scores/2022/0329/s-g-01/
2022,2022年3月30日（水）,水,0,京セラD大阪,2時間59分,オリックス・バファローズ,東北楽天ゴールデンイーグルス,1,6,6,12,2,0,0,0,0,,,0,5,0,0,0,0,6,"0(3),0(0),0(1),0(0),0(0),1(2),0(0),0(0),0(0)",早川（1勝0敗）,バルガス（0勝1敗）,,https://npb.jp/scores/2022/0330/b-e-02/
2022,2022年3月30日（水）,水,0,マツダスタジアム,3時間8分,広島東洋カープ,阪神タイガース,8,3,13,6,1,2,0,1,1,,ロハス・ジュニア1号（5回ソロ床田）,1,5,1,1,0,1,9,"0(0),0(0),0(0),0(0),0(1),3(0),3(0),2(0),x(2)",床田（1勝0敗）,伊藤将（0勝1敗）,,https://npb.jp/scores/2022/0330/c-t-02/
2022,2022年3月30日（水）,水,0,バンテリンドーム,3時間27分,中日ドラゴンズ,横浜DeNAベイスターズ,6,7,8,6,0,0,1,0,1,鵜飼1号（4回2ラン石田）,,0,1,0,0,0,0,8,"0(0),0(2),0(2),2(0),0(0),0(3),0(0),4(0),0(0)",石田（1勝0敗）,髙橋宏（0勝1敗）,山﨑（1セ）,https://npb.jp/scores/2022/0330/d-db-02/
2022,2022年3月30日（水）,水,0,札幌ドーム,3時間5分,北海道日本ハムファイターズ,埼玉西武ライオンズ,3,5,6,10,0,0,0,0,0,,,0,2,1,0,0,1,6,"1(0),0(0),0(0),0(0),0(0),2(5),0(0),0(0),0(0)",松本（1勝0敗）,加藤（0勝1敗）,増田（2セ）,https://npb.jp/scores/2022/0330/f-l-02/
2022,2022年3月30日（水）,水,0,ZOZOマリン,3時間44分,千葉ロッテマリーンズ,福岡ソフトバンクホークス,3,4,7,9,1,1,0,0,0,,,0,1,1,0,0,2,7,"0(0),0(2),1(0),2(0),0(0),0(0),0(2),0(0),0(0)",藤井（2勝0敗）,鈴木（0勝2敗）,森（4セ）,https://npb.jp/scores/2022/0330/m-h-02/
2022,2022年3月30日（水）,水,0,神　宮,2時間49分,東京ヤクルトスワローズ,読売ジャイアンツ,1,3,2,8,0,1,0,2,2,,ポランコ1号（4回ソロ石川）、ウィーラー1号（7回ソロ石川）,0,2,0,0,0,0,8,"0(0),0(0),0(0),0(2),0(0),0(0),0(1),1(0),0(0)",メルセデス（1勝0敗）,石川（0勝1敗）,大勢（4セ）,https://npb.jp/scores/2022/0330/s-g-02/
2022,2022年3月31日（木）,木,0,京セラD大阪,2時間45分,オリックス・バファローズ,東北楽天ゴールデンイーグルス,0,1,6,4,0,0,0,0,0,,,0,1,0,0,0,0,9,"0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(1)",西口（1勝0敗）,平野佳（0勝1敗）,松井裕（2セ）,https://npb.jp/scores/2022/0331/b-e-03/
2022,2022年3月31日（木）,木,0,マツダスタジアム,3時間6分,広島東洋カープ,阪神タイガース,3,2,7,10,0,0,0,0,0,,,1,1,1,1,0,1,6,"0(0),0(1),0(0),0(0),2(1),1(0),0(0),0(0),x(0)",塹江（1勝0敗）,秋山（0勝1敗）,栗林（2セ）,https://npb.jp/scores/2022/0331/c-t-03/
2022,2022年3月31日（木）,木,0,バンテリンドーム,2時間50分,中日ドラゴンズ,横浜DeNAベイスターズ,0,1,6,7,0,0,0,0,0,,,0,1,0,0,0,0,9,"0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(1)",濵口（1勝0敗）,R.マルティネス（0勝1敗）,山﨑（2セ）,https://npb.jp/scores/2022/0331/d-db-03/
2022,2022年3月31日（木）,木,0,札幌ドーム,3時間23分,北海道日本ハムファイターズ,埼玉西武ライオンズ,6,2,9,7,0,2,1,0,1,淺間1号（2回2ラン與座）,,1,4,0,1,0,0,7,"0(0),2(0),1(0),0(0),1(2),0(0),2(0),0(0),x(0)",立野（1勝0敗）,與座（0勝1敗）,,https://npb.jp/scores/2022/0331/f-l-03/
2022,2022年3月31日（木）,木,0,ZOZOマリン,3時間29分,千葉ロッテマリーンズ,福岡ソフトバンクホークス,1,3,8,9,1,1,1,0,1,エチェバリア1号（5回ソロ大関）,,0,2,0,0,0,0,8,"0(0),0(0),0(2),0(0),1(0),0(0),0(0),0(1),0(0)",大関（1勝0敗）,美馬（0勝1敗）,又吉（1セ）,https://npb.jp/scores/2022/0331/m-h-03/
2022,2022年3月31日（木）,木,0,神　宮,3時間15分,東京ヤクルトスワローズ,読売ジャイアンツ,3,6,7,9,1,1,1,0,1,サンタナ4号（9回2ランビエイラ）,,0,3,0,0,0,0,9,"0(0),0(0),0(0),0(1),0(0),0(2),0(0),1(0),2(3)",堀田（1勝0敗）,原（0勝1敗）,畠（1セ）,https://npb.jp/scores/2022/0331/s-g-03/
2022,2022年4月1日（金）,金,0,京セラD大阪,2時間58分,オリックス・バファローズ,北海道日本ハムファイターズ,2,0,9,5,0,0,0,0,0,,,1,2,0,1,0,0,5,"1(0),0(0),0(0),0(0),1(0),0(0),0(0),0(0),x(0)",山岡（1勝0敗）,根本（0勝1敗）,平野佳（1セ）,https://npb.jp/scores/2022/0401/b-f-01/
2022,2022年4月1日（金）,金,0,バンテリンドーム,2時間45分,中日ドラゴンズ,広島東洋カープ,3,2,8,6,1,1,1,0,1,阿部2号（2回ソロ大瀬良）,,1,1,1,1,0,2,8,"0(0),1(0),0(0),0(2),0(0),0(0),0(0),2(0),x(0)",大野雄（1勝1敗）,大瀬良（1勝1敗）,R.マルティネス（2セ）,https://npb.jp/scores/2022/0401/d-c-01/
2022,2022年4月1日（金）,金,0,楽天生命パーク,2時間58分,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,0,1,6,2,0,0,0,1,1,,柳田1号（4回ソロ涌井）,0,1,0,0,0,0,4,"0(0),0(0),0(0),0(1),0(0),0(0),0(0),0(0),0(0)",千賀（1勝0敗）,涌井（0勝1敗）,森（5セ）,https://npb.jp/scores/2022/0401/e-h-01/
2022,2022年4月1日（金）,金,0,東京ドーム,3時間13分,読売ジャイアンツ,阪神タイガース,6,5,11,8,0,1,3,1,4,坂本1号（1回ソロ藤浪）、ポランコ2号（1回ソロ藤浪）、大城1号（2回ソロ藤浪）,大山1号（9回2ラン大勢）,1,1,0,1,0,0,9,"2(0),1(0),2(0),1(0),0(1),0(2),0(0),0(0),x(2)",菅野（2勝0敗）,藤浪（0勝1敗）,大勢（5セ）,https://npb.jp/scores/2022/0401/g-t-01/
2022,2022年4月1日（金）,金,0,ZOZOマリン,3時間47分,千葉ロッテマリーンズ,埼玉西武ライオンズ,2,1,7,4,1,2,0,0,0,,,1,1,0,0,1,0,8,"1(0),0(0),0(0),0(0),0(0),0(0),0(0),0(1),0(0),1x(0)",ゲレーロ（1勝0敗）,平井（1勝1敗）,,https://npb.jp/scores/2022/0401/m-l-01/
2022,2022年4月1日（金）,金,0,神　宮,2時間45分,東京ヤクルトスワローズ,横浜DeNAベイスターズ,1,6,2,7,1,1,1,2,3,村上1号（2回ソロ上茶谷）,佐野2号（1回2ラン小川）、宮﨑2号（1回ソロ小川）,0,5,0,0,0,0,9,"0(3),1(0),0(0),0(0),0(0),0(0),0(0),0(0),0(3)",上茶谷（1勝0敗）,小川（0勝1敗）,,https://npb.jp/scores/2022/0401/s-db-01/
2022,2022年4月2日（土）,土,1,京セラD大阪,2時間54分,オリックス・バファローズ,北海道日本ハムファイターズ,7,0,11,5,0,1,0,0,0,,,1,7,0,1,0,0,7,"0(0),2(0),0(0),0(0),0(0),0(0),5(0),0(0),x(0)",山本（2勝0敗）,伊藤（0勝1敗）,,https://npb.jp/scores/2022/0402/b-f-02/
2022,2022年4月2日（土）,土,1,バンテリンドーム,3時間57分,中日ドラゴンズ,広島東洋カープ,4,3,9,4,1,0,1,1,2,大島1号（6回ソロ森下）,末包1号（5回ソロ笠原）,1,1,1,0,1,0,12,"0(1),0(0),0(0),1(0),0(1),1(0),0(0),0(0),0(0),0(0),0(0),2x(1)",森（1勝0敗）,栗林（0勝1敗）,,https://npb.jp/scores/2022/0402/d-c-02/
2022,2022年4月2日（土）,土,1,東京ドーム,3時間11分,読売ジャイアンツ,阪神タイガース,5,4,5,10,0,0,3,0,3,坂本2号（1回2ラン小川）、丸2号（2回ソロ小川）、ポランコ3号（3回ソロ小川）,,1,1,0,1,0,0,9,"2(2),1(0),1(0),0(1),1(0),0(0),0(0),0(0),x(1)",戸田（1勝0敗）,小川（0勝2敗）,大勢（6セ）,https://npb.jp/scores/2022/0402/g-t-02/
2022,2022年4月2日（土）,土,1,ZOZOマリン,3時間17分,千葉ロッテマリーンズ,埼玉西武ライオンズ,8,1,12,8,0,3,1,0,1,レアード1号（4回2ラン隅田）,,1,7,0,1,0,0,8,"0(0),0(0),0(0),2(0),1(0),0(0),5(0),0(1),x(0)",二木（1勝0敗）,隅田（1勝1敗）,,https://npb.jp/scores/2022/0402/m-l-02/
2022,2022年4月2日（土）,土,1,神　宮,3時間45分,東京ヤクルトスワローズ,横浜DeNAベイスターズ,3,2,10,7,0,0,1,0,1,山田2号（6回ソロ大貫）,,1,1,1,0,1,1,8,"0(0),0(1),0(0),0(0),1(0),1(0),0(0),0(1),0(0),1x(0)",梅野（2勝0敗）,ピープルズ（0勝1敗）,,https://npb.jp/scores/2022/0402/s-db-02/
2022,2022年4月3日（日）,日,1,京セラD大阪,3時間9分,オリックス・バファローズ,北海道日本ハムファイターズ,4,2,5,9,0,0,1,1,2,佐野皓1号（5回2ラン河野）,今川1号（4回2ラン宮城）,1,2,1,1,0,1,8,"0(0),0(0),0(0),0(2),2(0),0(0),0(0),2(0),x(0)",ビドル（1勝0敗）,宮西（0勝1敗）,平野佳（2セ）,https://npb.jp/scores/2022/0403/b-f-03/
2022,2022年4月3日（日）,日,1,バンテリンドーム,2時間22分,中日ドラゴンズ,広島東洋カープ,1,0,5,3,0,0,0,0,0,,,1,1,0,1,0,0,6,"0(0),0(0),0(0),0(0),0(0),1(0),0(0),0(0),x(0)",柳（1勝0敗）,遠藤（0勝1敗）,,https://npb.jp/scores/2022/0403/d-c-03/
2022,2022年4月3日（日）,日,1,東京ドーム,3時間16分,読売ジャイアンツ,阪神タイガース,9,5,11,8,0,0,2,3,5,中田2号（1回満塁ガンケル）、岡本和3号（5回ソロ浜地）,糸井2号（6回2ラン赤星）、木浪1号（9回ソロビエイラ）、梅野1号（9回ソロビエイラ）,1,4,0,1,0,0,9,"4(0),0(0),0(0),0(0),1(0),0(2),4(0),0(1),x(2)",赤星（1勝0敗）,ガンケル（0勝1敗）,,https://npb.jp/scores/2022/0403/g-t-03/
2022,2022年4月3日（日）,日,1,ZOZOマリン,2時間48分,千葉ロッテマリーンズ,埼玉西武ライオンズ,4,2,8,5,1,1,0,0,0,,,1,2,0,1,0,0,9,"0(0),1(0),0(0),0(0),0(0),2(0),0(1),1(0),x(1)",佐々木朗（1勝0敗）,渡邉（0勝1敗）,益田（1セ）,https://npb.jp/scores/2022/0403/m-l-03/
2022,2022年4月5日（火）,火,0,マツダスタジアム,2時間56分,広島東洋カープ,読売ジャイアンツ,3,1,7,7,1,0,0,0,0,,,1,2,0,1,0,0,6,"1(0),0(0),0(0),0(1),0(0),2(0),0(0),0(0),x(0)",九里（1勝0敗）,戸郷（1勝1敗）,栗林（3セ）,https://npb.jp/scores/2022/0405/c-g-01/
2022,2022年4月5日（火）,火,0,楽天生命パーク,2時間49分,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,3,8,10,0,2,0,2,2,,鈴木1号（5回2ラン田中将）、呉1号（9回ソロ西垣）,1,4,0,1,0,0,9,"2(0),0(0),3(0),0(0),0(2),0(0),2(0),0(0),x(1)",田中将（2勝0敗）,佐藤（1勝1敗）,,https://npb.jp/scores/2022/0405/e-l-01/
2022,2022年4月5日（火）,火,0,札幌ドーム,3時間4分,北海道日本ハムファイターズ,千葉ロッテマリーンズ,0,2,6,9,0,0,0,0,0,,,0,2,0,0,0,0,4,"0(0),0(0),0(0),0(2),0(0),0(0),0(0),0(0),0(0)",ロメロ（1勝0敗）,上沢（0勝2敗）,益田（2セ）,https://npb.jp/scores/2022/0405/f-m-01/
2022,2022年4月5日（火）,火,0,PayPayドーム,3時間34分,福岡ソフトバンクホークス,オリックス・バファローズ,6,3,8,6,0,0,1,1,2,三森1号（2回3ラン山﨑颯）,杉本1号（5回ソロ板東）,1,3,0,1,0,1,8,"0(2),3(0),0(0),2(0),0(1),0(0),0(0),1(0),x(0)",尾形（1勝0敗）,山﨑颯（0勝1敗）,森（6セ）,https://npb.jp/scores/2022/0405/h-b-01/
2022,2022年4月5日（火）,火,0,神　宮,3時間15分,東京ヤクルトスワローズ,中日ドラゴンズ,6,7,9,14,0,0,3,2,5,山田3号（3回2ラン勝野）、村上2号（3回ソロ勝野）、村上3号（7回3ラン清水）,木下1号（3回3ランサイスニード）、石川昂1号（8回ソロ清水）,0,1,0,0,0,0,8,"0(2),0(0),3(3),0(1),0(0),0(0),3(0),0(1),0(0)",清水（2勝0敗）,清水（0勝1敗）,R.マルティネス（3セ）,https://npb.jp/scores/2022/0405/s-d-01/
2022,2022年4月5日（火）,火,0,甲子園,2時間42分,阪神タイガース,横浜DeNAベイスターズ,4,0,6,7,0,0,1,0,1,佐藤輝1号（1回2ランロメロ）,,1,4,0,1,0,0,2,"3(0),1(0),0(0),0(0),0(0),0(0),0(0),0(0),x(0)",西勇（1勝0敗）,ロメロ（1勝1敗）,,https://npb.jp/scores/2022/0405/t-db-01/
2022,2022年4月6日（水）,水,0,マツダスタジアム,2時間40分,広島東洋カープ,読売ジャイアンツ,1,2,7,5,0,0,0,1,1,,吉川1号（8回2ラン中﨑）,0,1,1,0,0,1,8,"0(0),1(0),0(0),0(0),0(0),0(0),0(0),0(2),0(0)",メルセデス（2勝0敗）,中﨑（1勝1敗）,大勢（7セ）,https://npb.jp/scores/2022/0406/c-g-02/
2022,2022年4月6日（水）,水,0,楽天生命パーク,2時間47分,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,2,8,4,0,0,1,2,3,西川1号（5回ソロ松本）,外崎1号（5回ソロ岸）、岸1号（5回ソロ岸）,1,5,0,1,0,0,7,"3(0),0(0),0(0),0(0),1(2),0(0),3(0),0(0),x(0)",岸（1勝0敗）,松本（1勝1敗）,,https://npb.jp/scores/2022/0406/e-l-02/
2022,2022年4月6日（水）,水,0,札幌ドーム,3時間9分,北海道日本ハムファイターズ,千葉ロッテマリーンズ,3,2,10,5,1,0,2,0,2,野村1号（3回ソロ本前）、清宮2号（4回ソロ本前）,,1,1,0,0,0,0,7,"0(0),0(0),1(0),1(0),0(0),0(0),0(2),0(0),1x(0)",北山（1勝0敗）,ゲレーロ（1勝1敗）,,https://npb.jp/scores/2022/0406/f-m-02/
2022,2022年4月6日（水）,水,0,PayPayドーム,3時間38分,福岡ソフトバンクホークス,オリックス・バファローズ,1,3,4,8,1,0,0,0,0,,,0,2,0,0,1,0,10,"0(0),0(0),0(0),0(1),0(0),0(0),0(0),0(0),1(0),0(2)",平野佳（1勝1敗）,森（0勝1敗）,黒木（1セ）,https://npb.jp/scores/2022/0406/h-b-02/
2022,2022年4月6日（水）,水,0,神　宮,2時間51分,東京ヤクルトスワローズ,中日ドラゴンズ,2,1,7,5,1,0,1,0,1,松本直1号（2回2ラン福谷）,,1,1,0,1,0,0,4,"0(0),2(0),0(0),0(1),0(0),0(0),0(0),0(0),x(0)",高梨（2勝0敗）,福谷（0勝1敗）,マクガフ（2セ）,https://npb.jp/scores/2022/0406/s-d-02/
2022,2022年4月6日（水）,水,0,甲子園,4時間36分,阪神タイガース,横浜DeNAベイスターズ,1,6,9,9,0,0,0,0,0,,,0,5,1,0,1,1,12,"0(0),0(0),0(0),0(0),1(0),0(0),0(0),0(0),0(1),0(0),0(0),0(5)",伊勢（1勝0敗）,齋藤（0勝1敗）,,https://npb.jp/scores/2022/0406/t-db-02/
2022,2022年4月7日（木）,木,0,マツダスタジアム,3時間20分,広島東洋カープ,読売ジャイアンツ,9,2,10,9,0,2,1,0,1,マクブルーム1号（1回2ラン堀田）,,1,7,0,1,0,0,8,"2(2),1(0),0(0),1(0),0(0),0(0),4(0),1(0),x(0)",玉村（1勝0敗）,堀田（1勝1敗）,,https://npb.jp/scores/2022/0407/c-g-03/
2022,2022年4月7日（木）,木,0,PayPayドーム,3時間8分,福岡ソフトバンクホークス,オリックス・バファローズ,7,3,11,6,1,0,1,1,2,三森2号（3回ソロ山﨑福）,バレラ1号（6回2ランレイ）,1,4,0,1,0,0,7,"0(0),0(0),1(0),0(0),0(0),4(2),2(1),0(0),x(0)",レイ（1勝0敗）,山﨑福（0勝1敗）,,https://npb.jp/scores/2022/0407/h-b-03/
2022,2022年4月7日（木）,木,0,神　宮,3時間8分,東京ヤクルトスワローズ,中日ドラゴンズ,3,11,8,15,0,0,1,4,5,松本直2号（5回2ラン髙橋宏）,京田1号（4回ソロ石川）、石川昂2号（6回ソロ大下）、京田2号（6回ソロ大下）、木下2号（8回3ラン久保）,0,8,0,0,0,1,8,"1(0),0(2),0(0),0(1),2(1),0(3),0(0),0(4),0(0)",髙橋宏（1勝1敗）,石川（0勝2敗）,,https://npb.jp/scores/2022/0407/s-d-03/
2022,2022年4月8日（金）,金,0,札幌ドーム,3時間1分,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,0,3,4,5,0,0,0,0,0,,,0,3,0,0,0,0,4,"0(0),0(0),0(1),0(2),0(0),0(0),0(0),0(0),0(0)",早川（2勝0敗）,伊藤（0勝2敗）,松井裕（3セ）,https://npb.jp/scores/2022/0408/f-e-01/
2022,2022年4月8日（金）,金,0,東京ドーム,3時間38分,読売ジャイアンツ,東京ヤクルトスワローズ,2,7,8,9,0,0,1,0,1,岡本和4号（7回ソロ原）,,0,5,0,0,0,0,9,"0(0),0(1),0(0),0(1),0(3),0(0),2(0),0(0),0(2)",原（1勝1敗）,菅野（2勝1敗）,,https://npb.jp/scores/2022/0408/g-s-04/
